Team,points-per-game,average-scoring-margin,field-goals-made-per-game,field-goals-attempted-per-game,offensive-efficiency,defensive-efficiency,effective-field-goal-pct,true-shooting-percentage,three-point-pct,two-point-pct,free-throw-pct,three-pointers-made-per-game,three-pointers-attempted-per-game,offensive-rebounds-per-game,defensive-rebounds-per-game,total-rebounds-per-game,offensive-rebounding-pct,defensive-rebounding-pct,total-rebounding-percentage,blocks-per-game,steals-per-game,assists-per-game,turnovers-per-game,assist--per--turnover-ratio,win-pct-all-games,win-pct-close-games,possessions-per-game,personal-fouls-per-game,opponent-points-per-game,opponent-average-scoring-margin,opponent-shooting-pct,opponent-effective-field-goal-pct,opponent-three-point-pct,opponent-two-point-pct,opponent-free-throw-pct,opponent-true-shooting-percentage,opponent-assists-per-game,opponent-turnovers-per-game,opponent-assist--per--turnover-ratio
San Diego,63.9,-4.8,24.2,57.3,0.928,0.997,46.7,99.5,32.1,46.2,71.3,5.1,15.8,7.8,23.7,35.0,24.1,74.7,49.8,3.6,4.8,9.4,12.6,0.75,0.448,0.444,68.9,15.9,68.7,4.8,44.6,49.2,33.2,49.0,73.5,104.1,12.9,10.8,1.194
UC Irvine,63.9,2.5,23.2,54.0,0.964,0.926,47.6,103.7,32.1,47.4,78.0,5.0,15.4,8.7,23.7,35.0,29.0,74.3,51.9,3.6,5.5,10.2,13.4,0.76,0.565,0.667,66.3,18.3,61.4,-2.5,39.8,44.1,26.4,46.2,74.9,97.1,10.5,11.2,0.938
Charl South,63.9,-13.4,22.5,57.2,0.897,1.085,46.2,98.3,30.1,47.1,67.7,7.9,26.1,8.6,22.6,33.7,24.8,75.6,48.4,2.5,6.3,10.9,15.0,0.726,0.107,0.333,71.2,16.1,77.2,13.4,48.5,55.3,36.1,56.0,75.9,116.7,15.2,12.1,1.253
S Illinois,63.7,2.1,22.8,51.7,0.994,0.961,51.5,108.1,35.1,50.6,69.0,7.6,21.6,5.9,21.7,30.3,20.5,78.6,49.4,2.1,5.5,11.7,11.4,1.026,0.5,0.385,64.1,15.3,61.6,-2.1,44.5,49.7,32.4,50.2,75.9,106.4,10.6,11.8,0.901
Maryland ES,63.7,-5.2,22.2,56.6,0.887,0.959,46.0,97.8,31.9,44.6,64.7,7.7,24.0,8.5,21.2,33.1,25.8,70.6,47.6,2.2,9.5,11.9,15.4,0.774,0.348,0.75,71.8,17.5,68.8,5.2,44.5,51.0,33.7,51.2,68.7,108.2,13.4,16.7,0.803
GA Southern,63.6,-4.0,23.2,54.4,0.931,0.989,47.8,101.6,29.2,50.1,67.1,5.8,19.7,8.5,22.9,33.9,27.2,70.6,48.4,3.0,6.8,11.2,14.2,0.789,0.385,0.625,68.3,18.4,67.6,4.0,41.8,48.3,33.0,47.4,69.2,103.7,11.7,12.7,0.924
Florida A&M,63.5,-5.4,23.6,56.4,0.922,1.001,45.9,98.7,29.7,46.3,70.6,4.4,14.9,7.8,21.7,32.5,24.7,67.3,46.1,3.0,6.0,11.6,12.6,0.924,0.393,0.778,68.9,17.8,69.0,5.4,42.1,48.2,34.3,46.4,67.2,103.4,12.3,12.4,0.991
American,63.5,-7.5,24.4,54.3,0.94,1.051,49.6,104.3,33.1,49.6,69.4,5.0,15.2,6.8,21.2,30.7,23.2,73.5,48.1,3.1,6.5,12.2,13.3,0.913,0.313,0.167,67.5,14.9,70.9,7.5,47.3,53.3,34.7,53.9,69.2,111.2,13.5,11.5,1.18
Hampton,63.2,-7.5,21.7,55.4,0.892,0.998,44.2,97.1,29.5,44.2,69.7,5.7,19.4,6.5,24.0,33.7,19.5,70.2,45.9,3.7,4.7,9.6,12.5,0.767,0.269,0.75,70.9,18.7,70.7,7.5,42.4,47.4,29.8,48.8,66.4,101.7,11.3,11.3,1.007
Tarleton State,63.1,-2.7,22.2,53.5,0.95,0.991,46.3,101.7,30.9,46.3,75.4,5.2,16.8,7.5,18.4,29.3,24.3,67.5,45.7,2.1,7.5,10.5,11.8,0.885,0.393,0.333,66.4,17.9,65.8,2.7,45.3,52.4,32.9,54.7,70.0,110.9,13.6,16.0,0.853
Wm & Mary,63.1,-12.0,22.3,55.8,0.878,1.045,46.0,98.9,31.1,45.5,70.0,6.8,21.8,7.8,22.8,34.7,24.0,73.4,49.1,2.9,6.4,11.2,16.3,0.69,0.129,0.375,71.9,16.9,75.2,12.0,46.7,53.6,33.7,55.7,70.3,111.9,14.5,12.6,1.151
Holy Cross,63.1,-9.0,23.0,57.0,0.921,1.052,45.1,97.4,33.1,43.2,71.2,5.4,16.4,8.2,21.8,32.9,24.8,72.4,47.7,3.7,5.6,9.6,12.2,0.785,0.241,0.857,68.5,17.2,72.0,9.0,47.3,53.2,36.1,52.7,68.7,111.3,13.8,11.8,1.173
Butler,63.1,-4.7,22.4,54.8,0.938,1.008,47.1,100.6,29.7,48.9,68.9,6.8,22.9,7.5,21.5,32.9,24.2,73.6,49.1,2.1,5.1,10.6,12.0,0.887,0.387,0.444,67.2,16.8,67.8,4.7,44.0,49.9,31.1,51.9,72.0,106.3,12.1,11.2,1.08
California,63.1,-3.0,23.6,56.2,0.942,0.987,46.9,100.2,30.8,47.3,72.7,5.5,17.8,7.3,24.6,35.0,23.1,79.0,50.9,2.6,4.9,10.7,11.2,0.953,0.375,0.333,66.9,16.5,66.1,3.0,42.1,47.5,30.9,48.1,75.9,103.4,9.8,9.6,1.023
S Mississippi,62.7,-13.2,23.6,56.0,0.905,1.095,46.9,99.4,31.0,47.0,68.7,5.2,16.7,7.1,23.2,33.1,22.3,72.9,47.7,2.7,4.6,11.9,13.4,0.885,0.161,0.5,69.3,16.3,75.9,13.2,46.1,54.1,37.4,52.6,71.5,113.2,15.7,10.8,1.454
Austin Peay,62.6,-6.6,22.4,56.3,0.92,1.018,46.6,99.1,30.8,46.9,70.3,7.7,25.0,9.3,20.5,33.0,27.8,71.1,48.3,2.0,6.2,13.2,14.3,0.927,0.37,0.556,68.1,17.0,69.3,6.6,46.4,52.5,33.2,54.1,69.2,111.0,13.2,14.0,0.947
Virginia,62.6,2.4,23.4,52.1,1.013,0.975,49.7,106.0,32.2,50.3,73.9,5.0,15.5,7.3,21.7,31.5,25.6,73.9,50.0,4.5,5.8,14.0,9.8,1.422,0.594,0.583,61.7,13.8,60.2,-2.4,42.4,48.8,33.9,47.7,70.5,102.8,11.6,11.0,1.054
Beth-Cook,62.5,-8.0,23.3,56.6,0.903,1.019,45.4,97.2,33.7,43.7,68.1,4.9,14.4,8.2,20.3,32.0,25.2,70.2,47.5,2.4,7.8,10.4,13.4,0.778,0.276,0.444,69.2,17.4,70.5,8.0,45.4,51.5,32.9,52.8,73.8,110.5,13.5,13.8,0.98
San Jose St,62.5,-10.8,23.0,54.7,0.93,1.09,49.8,103.3,34.5,48.2,65.6,8.4,24.5,6.6,21.0,30.2,20.9,71.4,45.3,3.2,5.1,12.4,13.2,0.935,0.233,0.4,67.2,16.4,73.3,10.8,47.4,53.5,35.8,53.4,72.3,112.1,14.5,10.4,1.391
NJIT,62.5,-8.5,22.4,55.0,0.905,1.028,46.5,99.1,32.6,45.1,66.7,6.4,19.7,7.0,24.1,33.7,21.6,74.8,47.6,3.5,5.9,10.1,12.6,0.797,0.357,0.778,69.0,15.9,71.0,8.5,44.0,51.0,34.0,51.0,70.0,107.2,14.1,11.3,1.254
Idaho State,62.4,-9.7,21.9,53.1,0.923,1.066,47.4,101.5,29.6,49.6,68.4,6.6,22.4,7.7,21.2,32.1,25.1,75.0,49.0,2.2,4.6,10.0,13.9,0.718,0.179,0.25,67.6,18.4,72.0,9.7,47.0,53.2,34.1,54.5,73.5,113.4,11.7,11.0,1.062
Chicago St,62.1,-12.3,21.9,56.0,0.9,1.078,45.9,97.4,31.0,45.4,65.4,7.6,24.5,9.6,19.8,33.3,29.7,69.0,48.3,2.3,5.5,9.5,14.8,0.639,0.219,0.6,69.0,19.7,74.4,12.3,46.3,53.5,39.9,49.8,72.5,114.0,14.5,12.7,1.14
Albany,61.8,-4.0,23.0,56.2,0.907,0.967,46.2,98.4,32.3,45.2,70.4,5.9,18.2,6.9,21.6,32.0,22.3,76.6,48.4,2.5,6.7,9.4,12.4,0.762,0.419,0.778,68.1,18.0,65.9,4.0,43.9,50.7,35.5,49.1,72.2,108.1,12.5,13.6,0.917
Radford,61.8,-5.3,22.3,55.2,0.921,1.0,46.5,98.9,29.8,47.7,68.0,6.7,22.5,8.4,21.3,33.1,26.8,75.5,50.0,1.5,6.4,10.4,13.5,0.77,0.333,0.5,67.1,17.9,67.1,5.3,45.4,52.0,35.4,51.3,72.7,111.3,11.3,13.3,0.855
CS Bakersfld,61.8,-5.6,23.2,56.3,0.935,1.02,44.4,96.3,28.3,44.9,71.3,3.6,12.9,9.8,20.8,33.6,31.2,76.2,51.4,2.0,5.6,9.2,11.6,0.79,0.24,0.333,66.1,20.8,67.4,5.6,44.2,51.4,35.2,50.5,75.1,113.1,11.2,13.0,0.865
Central Conn,61.8,-10.3,21.6,54.8,0.899,1.05,46.0,99.0,34.2,42.6,70.8,7.3,21.5,7.3,21.0,31.9,23.4,69.9,46.6,2.2,6.2,10.6,13.8,0.771,0.25,0.5,68.7,16.1,72.1,10.3,46.1,52.9,34.8,53.3,71.0,111.1,13.9,12.6,1.099
Pittsburgh,61.5,-6.5,21.1,50.9,0.94,1.04,46.7,101.8,31.4,46.5,69.6,5.4,17.1,8.9,22.3,33.8,29.6,76.1,52.1,3.8,5.4,11.0,13.6,0.809,0.344,0.462,65.4,15.3,68.1,6.5,44.1,52.0,36.8,49.5,71.0,109.6,14.5,10.6,1.365
Alab A&M,61.4,-5.6,21.9,57.7,0.862,0.94,41.3,91.8,27.1,41.5,71.3,3.9,14.4,9.5,23.9,37.8,27.1,70.8,48.8,3.2,7.0,9.5,13.6,0.7,0.4,0.5,71.3,16.1,67.0,5.6,40.1,46.3,32.0,45.2,68.4,98.8,13.5,13.6,0.993
