Team,points-per-game,average-scoring-margin,field-goals-made-per-game,field-goals-attempted-per-game,offensive-efficiency,defensive-efficiency,effective-possession-ratio,effective-field-goal-pct,true-shooting-percentage,three-point-pct,two-point-pct,free-throw-pct,three-pointers-made-per-game,three-pointers-attempted-per-game,offensive-rebounds-per-game,defensive-rebounds-per-game,total-rebounds-per-game,offensive-rebounding-pct,defensive-rebounding-pct,total-rebounding-percentage,blocks-per-game,steals-per-game,assists-per-game,turnovers-per-game,assist--per--turnover-ratio,win-pct-all-games,win-pct-close-games,possessions-per-game,personal-fouls-per-game,opponent-points-per-game,opponent-average-scoring-margin,opponent-shooting-pct,opponent-effective-field-goal-pct,opponent-true-shooting-percentage,opponent-three-point-pct,opponent-two-point-pct,opponent-free-throw-pct,opponent-assists-per-game,opponent-turnovers-per-game,opponent-assist--per--turnover-ratio,opponent-offensive-rebounds-per-game,opponent-defensive-rebounds-per-game,opponent-total-rebounds-per-game,opponent-offensive-rebounding-pct,opponent-defensive-rebounding-pct,opponent-blocks-per-game,opponent-steals-per-game,opponent-effective-possession-ratio
Georgia,69.8,-8.7,23.8,53.9,0.979,1.101,0.89,50.2,109.3,32.1,51.3,74.7,6.4,19.9,6.6,22.7,32.7,22.3,70.9,48.4,2.2,5.2,13.9,14.4,0.961,0.188,0.167,71.3,15.0,78.5,8.7,47.4,54.6,113.4,34.9,56.1,71.6,16.5,11.0,1.507,9.3,23.0,34.8,29.1,77.7,5.0,7.8,0.977
Bradley,69.8,4.6,25.6,57.7,1.007,0.941,0.944,51.1,107.0,34.1,51.1,68.5,7.8,22.8,9.7,25.8,38.2,30.8,78.8,54.4,4.5,6.2,13.4,13.5,0.988,0.533,0.333,69.3,16.9,65.2,-4.6,40.8,46.9,101.7,32.2,46.1,74.4,10.0,12.4,0.811,7.0,21.7,31.9,21.2,69.2,2.2,7.3,0.922
S Car State,69.8,-4.6,24.5,64.1,0.921,0.982,0.975,43.3,94.5,30.6,42.1,69.5,6.5,21.1,12.8,24.0,40.3,32.9,73.5,51.2,3.6,6.3,11.4,14.8,0.77,0.429,0.6,75.7,19.8,74.4,4.6,43.0,49.9,107.1,35.7,47.7,70.1,14.2,14.9,0.952,8.6,26.1,38.4,26.5,67.1,3.9,6.9,0.917
Kent State,69.8,2.9,24.4,56.3,1.013,0.971,0.949,49.8,107.3,32.5,50.5,74.6,7.3,22.3,8.9,22.8,35.2,29.5,75.7,52.4,3.5,6.8,12.0,12.4,0.962,0.656,0.6,68.8,18.3,66.8,-2.9,42.2,49.0,105.4,31.7,50.1,70.7,11.9,13.1,0.907,7.3,21.3,32.0,24.3,70.5,2.5,6.6,0.916
Utah,69.7,-1.2,24.3,58.0,1.002,1.018,0.946,48.4,105.1,33.5,47.3,77.4,7.6,22.8,8.5,24.4,36.3,26.2,73.3,50.2,2.9,4.6,13.5,12.3,1.1,0.355,0.333,69.6,16.5,70.9,1.2,43.6,49.4,104.7,32.9,49.4,70.5,13.1,10.3,1.272,8.9,23.9,36.0,26.7,73.8,3.6,6.2,0.98
Neb Omaha,69.7,-14.7,25.2,58.4,0.963,1.166,0.918,49.3,105.1,35.8,46.9,73.1,7.2,20.0,7.8,22.9,32.6,23.0,71.8,46.6,2.6,4.6,10.9,13.8,0.794,0.138,0.4,72.4,19.4,84.4,14.7,48.5,56.3,118.9,39.9,54.0,73.4,14.2,10.5,1.359,9.0,26.1,37.3,28.2,77.0,2.9,6.5,0.98
Utah Val St,69.7,4.0,24.5,54.3,0.992,0.936,0.914,50.6,108.6,36.8,48.6,70.9,6.0,16.3,9.2,27.7,39.7,30.0,77.1,55.4,4.3,5.3,14.2,15.2,0.93,0.6,0.333,70.2,16.8,65.7,-4.0,40.1,45.4,97.1,29.0,46.6,67.9,12.2,10.7,1.14,8.2,21.4,31.9,22.9,70.0,3.2,7.6,0.964
S Carolina,69.7,-1.2,25.5,61.0,0.939,0.956,0.938,47.3,100.3,31.3,47.4,67.1,6.6,21.2,10.8,22.6,37.6,31.8,69.3,50.5,4.9,7.8,13.5,15.5,0.871,0.567,0.857,74.2,19.8,70.9,1.2,41.5,47.2,103.2,31.9,46.9,70.1,13.2,15.5,0.852,10.0,23.3,36.8,30.7,68.2,3.3,8.4,0.925
Mercer,69.6,-2.3,24.6,54.2,1.035,1.068,0.918,52.9,112.8,35.3,52.9,77.5,8.1,23.0,6.6,22.0,32.3,23.3,73.9,50.1,2.8,5.6,14.0,12.2,1.149,0.452,0.444,67.3,15.5,71.9,2.3,45.5,52.8,111.3,34.9,53.2,72.7,13.4,10.5,1.277,7.8,21.7,32.2,26.1,76.7,2.8,6.9,0.96
W Carolina,69.6,-8.6,24.2,60.7,0.979,1.1,0.965,47.9,101.3,31.3,48.9,67.7,9.7,31.1,9.9,24.1,36.7,27.6,72.9,49.1,2.3,4.8,12.5,12.4,1.01,0.323,0.75,71.1,16.9,78.2,8.6,45.0,53.2,111.8,36.0,52.7,71.7,14.8,10.0,1.477,9.0,25.9,38.1,27.1,72.4,3.4,6.3,0.985
